Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Breast Cancer,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
Breast Cancer,SVM (RBF kernel),0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826
Breast Cancer,Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313
Breast Cancer,XGBoost*,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9920634920634921
Heart Disease,Logistic Regression,0.82,0.8292682926829268,0.7555555555555555,0.7906976744186046,0.8969696969696971
Heart Disease,SVM (RBF kernel),0.815,0.8045977011494253,0.7777777777777778,0.7909604519774012,0.88489898989899
Heart Disease,XGBoost*,0.76,0.7441860465116279,0.7111111111111111,0.7272727272727273,0.832020202020202
Heart Disease,Random Forest,0.77,0.7558139534883721,0.7222222222222222,0.7386363636363636,0.8231313131313132
Diabetes,Logistic Regression,0.8,0.7419354838709677,0.6571428571428571,0.696969696969697,0.8963736263736264
Diabetes,SVM (RBF kernel),0.805,0.7818181818181819,0.6142857142857143,0.688,0.8872527472527473
Diabetes,XGBoost*,0.815,0.746268656716418,0.7142857142857143,0.7299270072992701,0.8857142857142857
Diabetes,Random Forest,0.805,0.7719298245614035,0.6285714285714286,0.6929133858267716,0.8837362637362638
